|||Netherlands
|||Energy sector
|||Oil & gas drilling
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Royal Dutch Shell|Oil & Gas Drilling|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
2|Noble Corporation|Oil & Gas Drilling|https://www.noblecorp.com|https://www.noblecorp.com/careers|https://www.noblecorp.com/news
3|Transocean|Oil & Gas Drilling|https://www.deepwater.com|https://www.deepwater.com/careers|https://www.deepwater.com/news
4|Seadrill|Oil & Gas Drilling|https://www.seadrill.com|https://www.seadrill.com/careers|https://www.seadrill.com/news
5|EnscoRowan|Oil & Gas Drilling|https://www.enscorowan.com|https://www.enscorowan.com/careers|https://www.enscorowan.com/news
6|Maersk Drilling|Oil & Gas Drilling|https://www.maerskdrilling.com|https://www.maerskdrilling.com/careers|https://www.maerskdrilling.com/news
7|Borr Drilling|Oil & Gas Drilling|https://www.borrdrilling.com|https://www.borrdrilling.com/careers|https://www.borrdrilling.com/news
8|Valaris|Oil & Gas Drilling|https://www.valaris.com|https://www.valaris.com/careers|https://www.valaris.com/news
9|Parker Drilling|Oil & Gas Drilling|https://www.parkerdrilling.com|https://www.parkerdrilling.com/careers|https://www.parkerdrilling.com/news
10|Diamond Offshore|Oil & Gas Drilling|https://www.diamondoffshore.com|https://www.diamondoffshore.com/careers|https://www.diamondoffshore.com/news

|||Oil & gas equipment & services
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Schlumberger|Oil & Gas Equipment & Services|https://www.slb.com|https://www.slb.com/careers|https://www.slb.com/news
2|Halliburton|Oil & Gas Equipment & Services|https://www.halliburton.com|https://www.halliburton.com/careers|https://www.halliburton.com/news
3|Baker Hughes|Oil & Gas Equipment & Services|https://www.bakerhughes.com|https://www.bakerhughes.com/careers|https://www.bakerhughes.com/news
4|Weatherford|Oil & Gas Equipment & Services|https://www.weatherford.com|https://www.weatherford.com/careers|https://www.weatherford.com/news
5|National Oilwell Varco|Oil & Gas Equipment & Services|https://www.nov.com|https://www.nov.com/careers|https://www.nov.com/news
6|TechnipFMC|Oil & Gas Equipment & Services|https://www.technipfmc.com|https://www.technipfmc.com/careers|https://www.technipfmc.com/news
7|Aker Solutions|Oil & Gas Equipment & Services|https://www.akersolutions.com|https://www.akersolutions.com/careers|https://www.akersolutions.com/news
8|KBR|Oil & Gas Equipment & Services|https://www.kbr.com|https://www.kbr.com/careers|https://www.kbr.com/news
9|Saipem|Oil & Gas Equipment & Services|https://www.saipem.com|https://www.saipem.com/careers|https://www.saipem.com/news
10|FMC Technologies|Oil & Gas Equipment & Services|https://www.fmc.com|https://www.fmc.com/careers|https://www.fmc.com/news

|||Integrated oil & gas
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Royal Dutch Shell|Integrated Oil & Gas|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
2|BP|Integrated Oil & Gas|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/en/global/corporate/news-and-insights.html
3|TotalEnergies|Integrated Oil & Gas|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/sustainability/news
4|ExxonMobil|Integrated Oil & Gas|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
5|Chevron|Integrated Oil & Gas|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
6|Eni|Integrated Oil & Gas|https://www.eni.com|https://www.eni.com/enipersonale|https://www.eni.com/enipersonale/news
7|ConocoPhillips|Integrated Oil & Gas|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
8|Repsol|Integrated Oil & Gas|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
9|Suncor Energy|Integrated Oil & Gas|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
10|Marathon Oil|Integrated Oil & Gas|https://www.marathonoil.com|https://www.marathonoil.com/careers|https://www.marathonoil.com/news

|||Oil & gas exploration & production
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Royal Dutch Shell|Oil & Gas Exploration & Production|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
2|TotalEnergies|Oil & Gas Exploration & Production|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/sustainability/news
3|BP|Oil & Gas Exploration & Production|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/en/global/corporate/news-and-insights.html
4|Equinor|Oil & Gas Exploration & Production|https://www.equinor.com|https://www.equinor.com/careers|https://www.equinor.com/news/archive
5|Eni|Oil & Gas Exploration & Production|https://www.eni.com|https://www.eni.com/enipersonale|https://www.eni.com/enipersonale/news
6|ConocoPhillips|Oil & Gas Exploration & Production|https://www.conocophillips.com|https://www.conocophillips.com/careers|https://www.conocophillips.com/news
7|Marathon Oil|Oil & Gas Exploration & Production|https://www.marathonoil.com|https://www.marathonoil.com/careers|https://www.marathonoil.com/news
8|Suncor Energy|Oil & Gas Exploration & Production|https://www.suncor.com|https://www.suncor.com/careers|https://www.suncor.com/news
9|Cairn Energy|Oil & Gas Exploration & Production|https://www.cairnenergy.com|https://www.cairnenergy.com/careers|https://www.cairnenergy.com/news
10|Husky Energy|Oil & Gas Exploration & Production|https://www.huskyenergy.com|https://www.huskyenergy.com/careers|https://www.huskyenergy.com/news

|||Oil & gas refining & marketing
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Royal Dutch Shell|Oil & Gas Refining & Marketing|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
2|BP|Oil & Gas Refining & Marketing|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/en/global/corporate/news-and-insights.html
3|TotalEnergies|Oil & Gas Refining & Marketing|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/sustainability/news
4|ExxonMobil|Oil & Gas Refining & Marketing|https://corporate.exxonmobil.com|https://corporate.exxonmobil.com/careers|https://corporate.exxonmobil.com/news-releases
5|Chevron|Oil & Gas Refining & Marketing|https://www.chevron.com|https://www.chevron.com/careers|https://www.chevron.com/sustainability/news
6|Repsol|Oil & Gas Refining & Marketing|https://www.repsol.com|https://www.repsol.com/en/careers|https://www.repsol.com/en/media
7|Marathon Petroleum|Oil & Gas Refining & Marketing|https://www.marathonpetroleum.com|https://www.marathonpetroleum.com/careers|https://www.marathonpetroleum.com/news
8|Valero Energy|Oil & Gas Refining & Marketing|https://www.valero.com|https://www.valero.com/careers|https://www.valero.com/en/news
9|PBF Energy|Oil & Gas Refining & Marketing|https://www.pbfenergy.com|https://www.pbfenergy.com/careers|https://www.pbfenergy.com/news
10|HollyFrontier|Oil & Gas Refining & Marketing|https://www.hollyfrontier.com|https://www.hollyfrontier.com/careers|https://www.hollyfrontier.com/news

|||Oil & gas storage & transportation
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Royal Dutch Shell|Oil & Gas Storage & Transportation|https://www.shell.com|https://www.shell.com/careers|https://www.shell.com/media
2|BP|Oil & Gas Storage & Transportation|https://www.bp.com|https://www.bp.com/careers|https://www.bp.com/en/global/corporate/news-and-insights.html
3|TotalEnergies|Oil & Gas Storage & Transportation|https://totalenergies.com|https://totalenergies.com/careers|https://totalenergies.com/sustainability/news
4|Enbridge|Oil & Gas Storage & Transportation|https://www.enbridge.com|https://www.enbridge.com/careers|https://www.enbridge.com/news
5|Kinder Morgan|Oil & Gas Storage & Transportation|https://www.kindermorgan.com|https://www.kindermorgan.com/careers|https://www.kindermorgan.com/news
6|Williams Companies|Oil & Gas Storage & Transportation|https://www.williams.com|https://www.williams.com/careers|https://www.williams.com/news
7|Magellan Midstream Partners|Oil & Gas Storage & Transportation|https://www.magellanlp.com|https://www.magellanlp.com/careers|https://www.magellanlp.com/news
8|Plains All American|Oil & Gas Storage & Transportation|https://www.plainsallamerican.com|https://www.plainsallamerican.com/careers|https://www.plainsallamerican.com/news
9|TC Energy|Oil & Gas Storage & Transportation|https://www.tcenergy.com|https://www.tcenergy.com/careers|https://www.tcenergy.com/news
10|Gibson Energy|Oil & Gas Storage & Transportation|https://www.gibsonenergy.com|https://www.gibsonenergy.com/careers|https://www.gibsonenergy.com/news

|||Coal & consumable fuels
Ranking|Company Name|Subindustry|Website|Careers Page|News/Information Page
1|Vattenfall|Coal & Consumable Fuels|https://www.vattenfall.com|https://careers.vattenfall.com|https://group.vattenfall.com/en/newsroom
2|RWE|Coal & Consumable Fuels|https://www.rwe.com|https://www.rwe.com/en/careers|https://www.rwe.com/en/news
3|Engie|Coal & Consumable Fuels|https://www.engie.com|https://www.engie.com/en/careers|https://www.engie.com/en/news
4|Uniper|Coal & Consumable Fuels|https://www.uniper.energy|https://www.uniper.energy/careers|https://www.uniper.energy/news
5|E.ON|Coal & Consumable Fuels|https://www.eon.com|https://www.eon.com/en/careers|https://www.eon.com/en/media
6|Centrica|Coal & Consumable Fuels|https://www.centrica.com|https://www.centrica.com/en/careers|https://www.centrica.com/en/news
7|Fortum|Coal & Consumable Fuels|https://www.fortum.com|https://www.fortum.com/careers|https://www.fortum.com/news
8|SSE|Coal & Consumable Fuels|https://www.sse.com|https://www.sse.com/careers|https://www.sse.com/news
9|Drax Group|Coal & Consumable Fuels|https://www.drax.com|https://www.drax.com/careers|https://www.drax.com/news
10|Norsk Hydro|Coal & Consumable Fuels|https://www.hydro.com|https://www.hydro.com/en/careers|https://www.hydro.com/en/news

